0,1,2
300,8,17826.51625
300,9,17749.746929223744
300,10,17575.00029109589
400,8,17905.561571061644
400,9,17828.823184931505
400,10,17648.526917808216
500,8,17936.966756849313
500,9,17857.322934931508
500,10,17680.182123287672
